标题 title
摘要 summary
箭头 arrow
商标 label
网站标志 logo
转角/圆角 corner
横幅广告 banner
子菜单 subMenu
容器 container
页头 header
内容 content/container
页面主体 main
页尾 footer
导航 nav
主导航 mainnav
子导航 subnav
顶导航 topnav
边导航 sidebar
左导航 leftsidebar
右导航 rightsidebar
栏目 column
侧栏 sidebar
搜索 search
搜索框 searchBar
登录 login
登录条 loginBar
工具条 toolBar
下拉 drop
标签页 tab
当前的 current
列表 list
滚动 scroll
服务 service
提示信息 msg
热点 hot
新闻 news
小技巧 tips
下载 download
加入 joinus
注册 regsiter
指南 guide
友情链接 friendlink
状态 status
版权 copyright
合作伙伴 partner

